Frank Huang,18,067,Jamie Via Overpass,Desireeburgh,Antigua and Barbuda,68746
Tasha Amore,17,5135,Robert Dam Rapids,Patrickport,Sweden,88969
Roger Haynes,18,7245,Stephen Wall Garden,Austinton,Mozambique,01032
Linda Flax,24,23485,Leonard Plaza Mission,Harrisonshire,Greece,66288
Judith Castillo,19,36300,Turner Rest Shoals,New Sandraland,Canada,50887
Carol Day,20,592,Tamara Trail Court,Jacksonborough,Yemen,46203
Andrew Gilfillan,18,6734,Christina Fall Way,West Stephenburgh,Panama,85530
Annette Davis,15,27556,Adam Station Cape,Pennybury,Belgium,34811
Michael Mankowski,19,6926,Nunez Garden Street,Abigailfort,Bahrain,22299
Verna Warren,23,7626,Ryan Overpass Squares,New Scott,Israel,05130
Louise Anderson,24,78105,Edwin Rest Motorway,Taylorchester,Singapore,66182
Christa Morris,18,5476,Banks Pike Drives,West Christine,Poland,26135
Melissa Jones,19,997,Lindsey Hill Mews,Lake Keith,Benin,06561
Jack Carrozza,17,814,Elizabeth Divide Lake,Gillespieborough,Guernsey,24427
Lucille Parsons,24,93631,Clay Mountain Wall,Westside,Cote d'Ivoire,35351
Michael Adkinson,16,510,Rodney Lodge Well,Savageborough,Bangladesh,56012
Donna Blubaugh,20,05457,Malone Road Summit,Stevenport,Macedonia,65957
Skye Mays,19,467,Bailey Harbor Orchard,Castanedashire,Lesotho,11504
Carlos James,16,856,Tami Mall Stravenue,New Melanieport,Andorra,78065
Lois Bailey,17,5169,Campbell Ferry Garden,West Cody,Somalia,07489
Dennis Thornton,21,91639,Melendez Unions Ways,South Jamesshire,Comoros,69027
James More,20,509,Benjamin Lakes Wall,Nguyenburgh,Sierra Leone,21175
Melissa Arnold,21,95208,Davis Mill Ports,Brianmouth,Romania,62210
Matthew Tomasi,18,779,Michael Manors View,Stephaniehaven,Kuwait,51388
Sylvia Christy,16,16202,Ashley Underpass Lake,Horneton,Chad,41260
Patrick Holder,21,09219,Huff Hollow Vista,South Carlychester,Belarus,45765
Larry Mott,23,72267,Johns Extensions Village,New Jasmin,Cape Verde,67787
Dawn Bailey,22,616,Jimmy Manors Stravenue,Jenniferside,Pakistan,13486
Donny Dorsey,15,8979,Amanda Bridge Shores,Lake Paul,Denmark,13201
Scott Anderson,20,719,Aguilar Heights Knoll,East Cindyside,Malta,03922
William Hatton,22,60065,Jessica Knolls Islands,Hatfieldburgh,Andorra,27445
Andrew Sheppard,23,43336,Russo Trace Burgs,North David,Taiwan,07710
Heather Payne,22,216,Alexis Mews Streets,New Robert,Australia,72812
Diane Sutherland,23,06977,Lopez Locks Road,Burnsstad,Papua New Guinea,09748
Leroy Rodriquez,15,44217,Eric Common Pine,Donaldville,Martinique,16280
Shawn Burrows,22,9509,Reid Terrace Path,Hutchinsonberg,Rwanda,08279
Reginald Savic,21,090,Amanda Forest Drive,Michellechester,Canada,04029
Herbert Dignan,15,8174,Rosales Extensions Road,North Richard,Cape Verde,59669
Marquis Oliver,22,258,Moore Overpass Ramp,Jacksonview,Croatia,65333
Ronald Oneal,18,598,Hernandez Row Island,Davidmouth,Austria,88808
Sharon Lawler,21,8806,Robin Stravenue Camp,North Victoria,Venezuela,48485
Tanner Lauer,19,3791,Carlos Lakes Valley,Pattersonburgh,San Marino,17100
Frieda Belisle,23,688,Erin Summit Garden,Port Patrick,Tokelau,68083
Bonnie Parke,18,763,Amanda Summit Drives,North Diane,Korea,12131
Joann King,15,07225,Welch Gateway Isle,Briannaberg,Bahamas,64016
Jeffrey Petersen,21,5505,Mason Trail Square,South Jennifermouth,Chile,15640
John Stephenson,16,6117,Natalie Cliffs Viaduct,Schmidttown,Maldives,95454
Edward Rios,21,497,Robert Crescent Terrace,Rosalesbury,India,03540
Ernest Carr,19,7976,Hoffman Drives Mission,East Thomas,Montenegro,61810
Cindy Ray,22,4879,Vincent Land Roads,Turnerbury,Czech Republic,49488
Doris Sims,22,280,Brian Manor Trace,Fredborough,Antarctica (the territory South of 60 deg S),22527
Darlene Thompson,23,5083,Andre Springs Overpass,Wisetown,Italy,83237
Rosemarie Dyer,17,540,Jonathan Divide Shoal,North Zachary,Venezuela,62547
